year,program,artist
2021,NHK紅白歌合戦,鈴木雅之
2021,NHK紅白歌合戦,ゆず
2021,NHK紅白歌合戦,星野源 [• 19]
2021,NHK紅白歌合戦,あいみょん
2021,NHK紅白歌合戦,BUMP OF CHICKEN [• 20]
2021,NHK紅白歌合戦,さだまさし
2021,NHK紅白歌合戦,東京事変
2021,NHK紅白歌合戦,薬師丸ひろ子 [• 25]
2021,NHK紅白歌合戦,石川さゆり
2021,NHK紅白歌合戦,石川さゆり
2021,NHK紅白歌合戦,氷川きよし
2021,NHK紅白歌合戦,布袋寅泰 [• 1]
2021,NHK紅白歌合戦,福山雅治
2021,NHK紅白歌合戦,MISIA
2022,NHK紅白歌合戦,SixTONES
2022,NHK紅白歌合戦,天童よしみ
2022,NHK紅白歌合戦,緑黄色社会
2022,NHK紅白歌合戦,郷ひろみ
2022,NHK紅白歌合戦,なにわ男子
2022,NHK紅白歌合戦,水森かおり
2022,NHK紅白歌合戦,LE SSERAFIM[• 4]
2022,NHK紅白歌合戦,Saucy Dog
2022,NHK紅白歌合戦,山内惠介
2022,NHK紅白歌合戦,日向坂46
2022,NHK紅白歌合戦,JO1
2022,NHK紅白歌合戦,milet
2022,NHK紅白歌合戦,NiziU
2022,NHK紅白歌合戦,鈴木雅之
2022,NHK紅白歌合戦,BE:FIRST
2022,NHK紅白歌合戦,SEKAI NO OWARI
2022,NHK紅白歌合戦,三浦大知
2022,NHK紅白歌合戦,IVE
2022,NHK紅白歌合戦,Snow Man
2022,NHK紅白歌合戦,Perfume
2022,NHK紅白歌合戦,THE LAST ROCKSTARS
2022,NHK紅白歌合戦,Aimer[• 11]
2022,NHK紅白歌合戦,坂本冬美
2022,NHK紅白歌合戦,ウタ[• 12]
2022,NHK紅白歌合戦,King Gnu[• 14]
2022,NHK紅白歌合戦,三山ひろし
2022,NHK紅白歌合戦,TWICE
2022,NHK紅白歌合戦,nan
2022,NHK紅白歌合戦,Vaundy
2022,NHK紅白歌合戦,milet×Aimer×幾田りら×Vaundy
2022,NHK紅白歌合戦,純烈（ダチョウ倶楽部・有吉弘行）
2022,NHK紅白歌合戦,back number
2022,NHK紅白歌合戦,back number
2022,NHK紅白歌合戦,乃木坂46[• 19]
2022,NHK紅白歌合戦,工藤静香
2022,NHK紅白歌合戦,King & Prince
2022,NHK紅白歌合戦,Official髭男dism[• 21]
2022,NHK紅白歌合戦,あいみょん
2022,NHK紅白歌合戦,加山雄三
2022,NHK紅白歌合戦,Superfly[• 4]
2022,NHK紅白歌合戦,藤井風
2022,NHK紅白歌合戦,篠原涼子
2022,NHK紅白歌合戦,ゆず
2022,NHK紅白歌合戦,関ジャニ∞
2022,NHK紅白歌合戦,星野源[• 21]
2022,NHK紅白歌合戦,氷川きよし
2022,NHK紅白歌合戦,松任谷由実 with 荒井由実[• 24]
2022,NHK紅白歌合戦,松任谷由実 with 荒井由実[• 24]
2022,NHK紅白歌合戦,KinKi Kids
2022,NHK紅白歌合戦,安全地帯
2022,NHK紅白歌合戦,石川さゆり
2022,NHK紅白歌合戦,"桑田佳祐 feat. 佐野元春, 世良公則, Char, 野口五郎"
2022,NHK紅白歌合戦,MISIA
