year,program,artist,appearances,song
2020,NHK紅白歌合戦,五木ひろし,50,山河
2020,NHK紅白歌合戦,NiziU,1,Make you happy
2020,NHK紅白歌合戦,瑛人,1,香水
2020,NHK紅白歌合戦,Perfume[• 2],13,Perfume Medley 2020[• 14]
2020,NHK紅白歌合戦,BABYMETAL,1,イジメ、ダメ、ゼッタイ
2020,NHK紅白歌合戦,郷ひろみ,33,筒美京平 トリビュートメドレー[• 15]
2020,NHK紅白歌合戦,JUJU,1,やさしさで溢れるように
2020,NHK紅白歌合戦,nan,0,連続テレビ小説「エール」[• 16]
2020,NHK紅白歌合戦,GReeeeN,1,星影のエール 紅白SP[• 17]
2020,NHK紅白歌合戦,嵐[• 18],12,嵐×紅白 2020スペシャルメドレー[• 19]
2020,NHK紅白歌合戦,LiSA,2,アニメ「鬼滅の刃」紅白SPメドレー[• 20]
2020,NHK紅白歌合戦,Official髭男dism[• 2],2,I LOVE...
2020,NHK紅白歌合戦,三山ひろし,6,北のおんな町 〜第4回けん玉世界記録への道〜
2020,NHK紅白歌合戦,YOASOBI[• 21],1,夜に駆ける[59]
2020,NHK紅白歌合戦,関ジャニ∞,9,みんなで踊ろう!前向きスクリーム!
2020,NHK紅白歌合戦,東京事変[• 2],1,うるうるうるう〜能動的閏〆篇〜[• 23]
2020,NHK紅白歌合戦,ゆず[• 3],11,雨のち晴レルヤ 〜歓喜の歌 紅白SP〜
2020,NHK紅白歌合戦,あいみょん,2,裸の心
2020,NHK紅白歌合戦,YOSHIKI,3,ENDLESS RAIN[• 24]
2020,NHK紅白歌合戦,Superfly[• 3],5,愛をこめて花束を
2020,NHK紅白歌合戦,Mr.Children[• 25],2,Documentary film
2020,NHK紅白歌合戦,石川さゆり,43,天城越え
2020,NHK紅白歌合戦,星野源[• 25],6,うちで踊ろう (大晦日)
2020,NHK紅白歌合戦,氷川きよし,21,限界突破×サバイバー
2020,NHK紅白歌合戦,松田聖子,24,瑠璃色の地球 2020
2020,NHK紅白歌合戦,松任谷由実[• 2][• 26],5,守ってあげたい
2020,NHK紅白歌合戦,玉置浩二[• 25],2,田園
2020,NHK紅白歌合戦,福山雅治,13,家族になろうよ
2020,NHK紅白歌合戦,MISIA,5,アイノカタチ
2021,NHK紅白歌合戦,LiSA,3,明け星
2021,NHK紅白歌合戦,郷ひろみ,34,2億4千万の瞳-エキゾチック・ジャパン-
2021,NHK紅白歌合戦,DISH//,1,猫
2021,NHK紅白歌合戦,NiziU [• 1],2,Take a picture
2021,NHK紅白歌合戦,山内惠介 [• 2],7,有楽町で逢いましょう
2021,NHK紅白歌合戦,櫻坂46[• 2],2,流れ弾
2021,NHK紅白歌合戦,YOASOBI with ミドリーズ,1,ツバメ
2021,NHK紅白歌合戦,Awesome City Club [• 1],1,勿忘
2021,NHK紅白歌合戦,GENERATIONS,3,Make Me Better
2021,NHK紅白歌合戦,日向坂46,3,君しか勝たん
2021,NHK紅白歌合戦,純烈,4,君がそばにいるから
2021,NHK紅白歌合戦,SixTONES [• 1],2,マスカラ
2021,NHK紅白歌合戦,天童よしみ,26,あんたの花道〜ブラバンSP〜
2021,NHK紅白歌合戦,KAT-TUN,1,Real Face #2
2021,NHK紅白歌合戦,上白石萌音 [• 1],1,夜明けをくちずさめたら
2021,NHK紅白歌合戦,King & Prince,4,恋降る月夜に君想ふ
2021,NHK紅白歌合戦,milet,2,Fly High
2021,NHK紅白歌合戦,まふまふ[• 1],1,命に嫌われている。
2021,NHK紅白歌合戦,水森かおり [• 7],19,いい日旅立ち
2021,NHK紅白歌合戦,Snow Man,1,D.D.
2021,NHK紅白歌合戦,松平健,2,マツケンサンバII
2021,NHK紅白歌合戦,東京都交響楽団,1,序曲
2021,NHK紅白歌合戦,東京都交響楽団,1,そして伝説へ…[• 1]
2021,NHK紅白歌合戦,LiSA,3,炎
2021,NHK紅白歌合戦,高橋洋子,1,残酷な天使のテーゼ
2021,NHK紅白歌合戦,AI,4,アルデバラン
2021,NHK紅白歌合戦,関ジャニ∞,10,Re:LIVE
2021,NHK紅白歌合戦,BiSH,1,プロミスザスター
2021,NHK紅白歌合戦,三山ひろし [• 2],7,浮世傘 〜第5回けん玉世界記録への道〜
2021,NHK紅白歌合戦,平井大,1,"Stand by me, Stand by you."
2021,NHK紅白歌合戦,ケツメイシ,1,ライフイズビューティフル
2021,NHK紅白歌合戦,Perfume [• 1],14,ポリゴンウェイヴ
2021,NHK紅白歌合戦,millennium parade × Belle,1,U
